transaction_id,book_id,borrower_id,borrow_date,return_date
1,588,548,2024-02-27,2024-08-11
2,306,402,2024-12-07,2025-02-08
3,828,662,2025-01-18,2025-01-25
4,25,387,2025-02-04,2025-02-22
5,512,452,2024-10-24,2024-11-25
6,415,606,2023-10-21,2024-06-23
7,685,796,2024-10-26,2025-01-03
8,886,662,2024-04-23,2024-06-05
9,477,137,2024-05-09,2024-05-17
10,759,499,2024-11-03,2025-01-26
11,13,51,2024-02-26,2025-02-21
12,219,441,2024-01-10,2024-01-26
13,259,98,2024-04-30,2024-12-01
14,176,396,2023-12-12,2024-08-03
15,304,345,2023-10-04,2024-01-07
16,912,892,2025-01-20,2025-02-21
17,907,644,2023-08-10,2023-12-12
18,789,915,2024-08-07,2024-11-27
19,802,418,2025-02-10,2025-02-15
20,858,142,2023-08-18,2024-06-22
21,815,78,2024-09-19,2024-10-08
22,243,598,2024-09-08,2024-11-02
23,19,358,2024-11-30,2025-02-07
24,769,850,2024-03-17,2024-04-25
25,920,258,2023-04-23,2023-12-03
26,600,655,2025-02-20,2025-02-20
27,448,20,2024-08-09,2025-01-03
28,202,945,2024-08-26,2024-11-05
29,944,179,2023-08-02,2024-09-16
30,653,648,2024-01-11,2024-03-05
31,658,946,2023-11-21,2024-07-09
32,392,450,2024-04-03,2024-07-23
33,222,897,2023-04-20,2024-05-24
34,235,397,2024-02-16,2024-04-14
35,888,803,2023-08-19,2024-07-24
36,995,737,2024-01-29,2025-02-11
37,413,246,2024-05-05,2024-12-24
38,59,679,2023-11-13,2024-02-24
39,338,30,2024-10-22,2024-12-11
40,455,236,2023-06-13,2025-02-11
41,379,959,2023-03-10,2023-11-09
42,533,65,2023-07-09,2023-07-18
43,109,485,2023-02-24,2025-01-01
44,841,908,2024-11-15,2024-12-11
45,833,76,2024-01-23,2024-10-01
46,85,804,2023-09-27,2023-11-26
47,195,707,2024-06-05,2025-01-24
48,927,520,2023-12-02,2024-11-12
49,964,331,2024-07-15,2025-02-22
50,9,680,2024-06-07,2024-12-31
51,15,663,2023-08-29,2024-04-08
52,688,98,2024-12-16,2025-01-15
53,364,654,2024-09-27,2024-10-06
54,336,311,2024-07-24,2024-12-31
55,99,183,2024-02-13,2024-08-07
56,904,760,2023-06-13,2023-08-26
57,70,422,2024-01-23,2024-10-28
58,568,861,2023-07-30,2024-07-23
59,25,828,2024-02-06,2024-11-11
60,141,462,2024-10-08,2024-11-10
61,179,393,2024-05-23,2024-08-03
62,861,367,2024-01-06,2024-08-30
63,565,709,2025-01-27,2025-02-21
64,579,697,2025-02-15,2025-02-17
65,327,216,2023-04-21,2024-08-10
66,982,636,2023-03-25,2023-05-17
67,152,645,2023-04-03,2023-07-15
68,889,902,2024-03-03,2024-09-01
69,782,629,2024-11-08,2024-11-08
70,795,506,2024-07-05,2024-09-04
71,345,270,2023-12-15,2024-11-05
72,2,821,2024-10-16,2025-01-15
73,223,989,2023-07-30,2024-07-22
74,717,478,2024-05-14,2024-06-18
75,298,555,2024-02-17,2024-06-19
76,573,596,2024-01-23,2024-09-20
77,50,921,2024-08-09,2024-11-21
78,504,738,2025-01-30,2025-02-03
79,372,886,2024-07-11,2024-08-11
80,247,912,2024-10-16,2025-01-09
81,540,336,2024-07-11,2025-02-19
82,955,325,2023-04-18,2024-05-06
83,31,29,2023-05-13,2024-08-31
84,505,593,2023-08-19,2024-01-16
85,67,475,2024-08-01,2024-08-14
86,163,307,2024-04-04,2025-02-20
87,166,752,2023-06-24,2024-08-21
88,543,52,2024-04-20,2024-12-27
89,963,286,2025-02-07,2025-02-11
90,102,928,2024-05-15,2025-02-01
91,941,133,2024-07-01,2024-11-06
92,346,868,2023-08-28,2024-08-27
93,815,259,2023-02-25,2024-06-23
94,763,362,2024-09-05,2024-11-05
95,749,8,2023-11-06,2024-06-07
96,136,702,2025-01-12,2025-01-15
97,900,335,2024-02-28,2024-09-09
98,526,527,2023-11-13,2024-06-20
99,41,883,2024-01-02,2024-06-17
100,257,795,2023-08-18,2025-01-27
101,638,128,2023-11-05,2024-07-02
102,33,971,2023-03-24,2024-01-15
103,43,312,2024-01-28,2024-10-25
104,852,346,2023-11-18,2024-04-30
105,831,307,2023-09-18,2024-06-02
106,217,189,2024-11-30,2024-12-24
107,856,122,2024-11-29,2025-02-07
108,512,236,2023-12-15,2025-01-15
109,111,313,2024-09-02,2024-09-03
110,88,791,2023-07-23,2024-10-09
111,637,908,2023-08-03,2024-04-29
